ASV	BL.20130417	BL.20130507	BL.20130604	BL.20130709	BL.20130801	BL.20130917	BL.20131015	BL.20140114	BL.20140211	BL.20140310	BL.20141007	BL.20141111	BL.20150113	BL.20150210	BL.20150916	BL.20151006	BL.20151110	BL.20151215	BL.20160119	BL.20160210	BL.20160308	BL.20160405	BL.20160504
ASV_1_16S	4.07105820843728	3.19186679438538	7.09571760971666	7.2041682967486	7.46483443616445	7.18364081486164	7.46426245975552	6.52658321736033	3.92153994931809	5.60029027487385	8.18523825858098	5.92109625853186	3.54194457494508	2.44663023813158	7.38174803444949	6.78669580081974	6.13736467982399	4.28210724639547	4.31421353308934	2.9061610833854	2.27271031978344	4.77992918468988	6.74415949408882
ASV_2_16S	7.74178320898049	5.76429282218994	4.16648961242085	2.31167324495657	-0.70761238217833	-0.990498528567833	2.39070284987623	5.8972298302369	4.5988520313563	6.78094088153653	3.12060592111545	2.24594699722983	2.72556475396119	2.73711736151097	4.02459599389352	3.44656471458441	2.92178841015296	2.69298605986405	3.08619017076972	3.6100035530621	4.5022702777626	7.99657341924442	7.19487278504843
ASV_3_16S	6.11239990388484	5.12374162532431	6.33841846682231	5.88988713118299	6.10473271199915	5.48647383432185	5.24271373989995	4.42136563936551	5.0900554418073	4.71041542945718	4.35413752768294	5.23985943406683	5.00744517359354	5.00724870965528	5.60711659871514	5.44539726509407	4.59502927914568	5.12188381560368	4.63038756133542	4.88158529295388	4.93070194699081	5.02814283529254	6.25654548464202
ASV_4_16S	-0.601770626024627	-0.521705272318928	-0.69332279194082	3.70980206372347	5.94782796818932	5.21405923400086	5.39446729512748	6.60966158595742	4.19477388602249	7.17451700414076	5.56295295648466	6.22171275270825	5.12494923031102	4.57048283157149	3.71960141614899	6.72657653944434	4.42717214284329	5.22295152620862	3.62299128093898	5.11644222602405	4.12038851979052	4.2208292595464	4.38186560791281
ASV_6_16S	6.70139942521217	5.59418685316411	5.5192833038107	4.11918107115277	2.84773567931108	2.62041938407639	3.23338176440714	4.93130197894661	3.96694160509737	6.25971498315275	3.50359817337156	1.1830527911638	1.47689177071734	1.67966314533637	4.3521239748925	3.48912432900321	2.53958016420906	2.15956060418081	2.5088748057349	3.05105243779986	4.30344972158861	7.04957308461591	7.06875202521795
ASV_7_16S	5.83116946671455	4.95893365102306	5.65231356888778	5.12222272943558	5.35617282650928	5.06159064035658	4.32735367351875	3.34907065901477	3.93510867852416	3.76900641074864	3.51114537900694	4.3741787030791	4.12002242572024	3.9926775346274	4.74448273549536	4.55598791935674	3.59112494201919	3.89751736741589	3.53877320185496	3.78743729741446	3.88916580487619	3.8698113119228	5.21840177503431
ASV_8_16S	5.50525226171763	5.56733960312792	6.48902931994444	5.13644772036692	5.65369009539466	5.45363272813261	4.55142702499292	4.1030970762875	4.61605231780338	3.98765107919359	2.77967933414486	4.5329568784384	4.53626930943169	4.51002613116823	4.68187726126497	4.58947122348353	3.88630892512276	4.62118238020774	4.1284177400272	4.53159933716594	4.36526967090406	4.22443286704969	5.96384050312185
ASV_9_16S	2.79942675563753	2.25088344992085	-0.69332279194082	-0.73284919276685	-0.70761238217833	4.44322347498641	3.27420375892739	6.08304454512677	5.40071979447264	5.30445144127908	2.66384751861974	3.97679771337089	5.82143903236766	5.51180472040767	3.7627735880142	3.88762076779528	4.96529794260673	5.57588114741719	5.57492719459796	6.43741159329575	5.83926298028572	5.84424839990336	4.2512119151159
ASV_10_16S	3.94152415624538	4.6986505527594	4.993652564399	4.37913859558969	5.58395675737999	5.70034374885073	4.41203676074879	3.74146368555558	4.23750673560845	3.54336597923584	3.92410115884426	4.93007701461439	4.89695763668388	4.47221261013869	5.15433574006895	4.91248363576564	4.299220084015	4.5948434090508	4.12686975210198	4.222886370179	4.03468795720587	3.28356192633957	4.82039938812774
ASV_11_16S	-0.601770626024627	-0.521705272318928	-0.69332279194082	-0.73284919276685	-0.70761238217833	-0.990498528567833	-1.04328435460892	4.31518173955247	4.00032082717121	4.77172647161861	-1.37920374921481	2.62064044667124	4.13814981031279	4.08849545752463	1.33267517472119	1.72813651844191	4.42193652878934	3.51441343946589	3.16217607774765	3.4915554026489	4.16276313744623	4.61174865665218	-2.16060635259399
