ASV	EA.20130423	EA.20130604	EA.20130625	EA.20131127	EA.20131230	EA.20140415	EA.20140514	EA.20140930	EA.20141029	EA.20150227	EA.20150328	EA.20150516	EA.20150627	EA.20150801	EA.20150829	EA.20151006	EA.20151208	EA.20160225	EA.20160322	EA.20160502	EA.20160611	EA.20160822	abundancesum_small
OTU_154_18S	0	384	1941	7359	1686	2734	0	225	54	0	0	79	50	0	0	59	0	29	0	39	0	235	14874
OTU_156_18S	300	735	743	2441	237	225	559	308	255	223	100	227	227	157	273	282	321	368	136	27	330	803	9277
OTU_151_18S	136	306	221	486	85	2711	0	75	118	422	351	65	145	10	65	125	0	293	180	630	763	126	7313
OTU_157_18S	1644	0	495	2569	193	972	0	286	296	1078	158	0	68	135	179	98	302	107	36	0	0	42	8658
OTU_161_18S	4976	2235	670	1655	116	2364	315	110	505	479	390	290	186	58	109	159	160	257	310	155	55	389	15943
OTU_163_18S	73	0	224	822	543	427	0	447	683	0	0	215	170	991	481	217	123	0	48	317	0	858	6639
OTU_168_18S	3131	2913	993	340	73	496	25	53	254	318	58	153	116	42	91	63	87	0	0	201	0	649	10056
OTU_169_18S	1491	1919	276	492	460	7392	147	200	204	0	286	0	136	118	190	0	205	233	0	192	0	0	13941
OTU_160_18S	253	3244	207	1617	4581	1658	0	42	269	128	113	43	13	0	0	8	166	474	87	0	112	0	13015
OTU_170_18S	433	227	519	666	57	0	69	970	1461	539	462	0	0	687	749	254	0	0	0	0	0	990	8083
OTU_172_18S	3039	180	1889	252	31	3971	51	348	97	311	214	124	123	0	7	183	0	502	53	6	32	0	11413
OTU_173_18S	1034	1914	321	169	82	3322	232	84	111	0	613	77	36	114	94	41	250	129	38	205	255	0	9121
OTU_179_18S	398	597	41	1057	657	276	0	253	708	763	202	626	327	0	0	374	82	0	92	0	176	0	6629
OTU_177_18S	786	363	146	172	145	713	0	0	244	102	74	188	0	0	258	0	102	73	0	0	0	0	3366
OTU_180_18S	354	14	280	292	578	845	270	613	468	375	626	403	762	79	43	249	0	982	633	209	141	40	8256
OTU_183_18S	242	95	0	128	43	254	0	0	0	174	32	0	0	0	0	0	0	0	0	0	82	0	1050
