ASV	EA.20130423	EA.20130604	EA.20130625	EA.20131127	EA.20131230	EA.20140415	EA.20140514	EA.20140930	EA.20141029	EA.20150227	EA.20150328	EA.20150516	EA.20150627	EA.20150801	EA.20150829	EA.20151006	EA.20151208	EA.20160225	EA.20160322	EA.20160502	EA.20160611	EA.20160822
ASV_1_16S_022.3	6731	10205	8969	24373	12025	7474	2193	20917	5178	2534	8242	30218	20842	4440	5983	9731	31913	2302	10805	12133	11464	9520
ASV_3_16S_022.3	381	2181	3236	1730	2302	1241	183	1545	784	195	879	1448	1694	1290	988	764	3720	390	984	5653	975	753
ASV_4_16S_022.3	0	0	0	15	0	32	0	12	14	0	0	0	86	43	24	38	142	0	0	0	10	0
ASV_7_16S_022.3	296	2204	2994	1341	1173	1861	166	1743	876	182	1243	3433	2103	1220	1342	916	1543	238	671	2170	462	1074
ASV_8_16S_022.3	318	737	1201	1825	1798	566	108	1181	311	185	658	721	756	439	378	643	3096	233	550	1799	345	390
ASV_9_16S_022.3	15	85	304	159	46	8	14	83	36	14	25	211	84	68	61	81	55	26	18	140	230	53
ASV_10_16S_022.3	464	1025	887	1185	1578	930	174	691	221	196	642	1425	952	302	166	456	1501	185	835	2801	451	416
ASV_11_16S_022.3	1360	1209	1484	92	2281	1173	81	511	2459	393	1043	936	543	434	479	1742	4079	41	236	940	219	1839
ASV_13_16S_022.3	739	1594	2363	1618	880	1039	259	2736	579	159	1484	3555	2861	767	740	1988	2029	229	1138	1683	422	2021
ASV_14_16S_022.3	376	993	1250	897	2077	972	267	1563	1175	336	481	3588	2626	841	1020	843	2108	250	1191	2735	842	828
ASV_15_16S_022.3	700	760	1234	2257	793	589	163	2329	464	165	1310	2818	3363	535	707	1328	2683	143	1154	2047	675	1152
ASV_16_16S_022.3	0	430	263	12	8	30	17	397	76	0	0	499	48	67	97	164	0	0	243	17	129	34
ASV_19_16S_022.3	206	337	795	2156	853	165	164	1771	399	182	2049	745	1929	458	577	1040	1646	159	1414	1018	266	550
ASV_22_16S_022.3	284	734	1377	1871	2086	610	94	1584	692	219	896	1536	1112	1191	999	467	2265	206	815	1904	457	2172
ASV_23_16S_022.3	187	199	665	1330	336	495	47	678	757	565	2055	2277	1501	319	109	217	731	103	293	4777	372	1280
ASV_24_16S_022.3	78	368	1142	528	217	397	268	1610	358	68	983	1065	1988	1050	668	1249	557	221	588	4181	879	1919
ASV_26_16S_022.3	437	497	799	814	626	596	129	1159	381	137	805	2960	1387	267	324	534	1077	176	843	1643	697	398
ASV_27_16S_022.3	24	148	175	0	40	56	15	120	89	52	53	229	246	78	89	46	38	0	74	213	128	57
ASV_29_16S_022.3	0	41	3761	12116	4295	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_31_16S_022.3	449	581	528	1509	803	535	142	1177	390	184	1179	2012	1444	323	298	432	1288	288	1352	974	428	518
ASV_35_16S_022.3	15	16	34	43	31	17	3	81	13	35	44	35	80	57	24	30	66	19	51	50	26	26
ASV_38_16S_022.3	254	853	1224	1063	284	892	289	591	268	65	978	1153	1812	359	322	949	1022	115	475	1811	330	1579
ASV_39_16S_022.3	190	165	647	1787	327	425	58	439	374	46	407	865	2620	209	452	639	2765	387	1157	2310	109	496
ASV_40_16S_022.3	0	0	0	0	20	24	0	45	46	8	0	19	64	32	0	9	86	0	0	0	0	0
ASV_41_16S_022.3	0	14	237	0	0	0	0	212	0	0	0	0	47	283	309	127	0	0	0	0	0	0
ASV_43_16S_022.3	214	286	789	1308	1059	271	0	1223	467	154	346	584	883	1180	486	414	1565	128	701	1219	143	1322
ASV_46_16S_022.3	105	103	422	335	121	151	103	946	111	61	483	1149	661	876	227	1180	111	78	353	1158	189	266
ASV_48_16S_022.3	262	425	1547	907	329	893	135	1291	290	55	329	548	914	578	243	969	1426	111	222	2133	402	250
ASV_49_16S_022.3	167	519	706	149	31	331	74	687	131	9	979	1257	1240	348	473	1287	198	70	301	820	115	1097
ASV_53_16S_022.3	197	1399	2894	37	8	389	99	676	80	5	29	908	2176	378	132	47	21	0	233	505	169	319
ASV_55_16S_022.3	225	287	934	384	53	291	41	1417	164	50	147	875	3059	685	142	599	459	55	656	839	464	776
ASV_56_16S_022.3	77	253	823	189	109	136	101	314	116	0	364	632	1481	290	453	387	175	53	513	1575	733	362
ASV_58_16S_022.3	0	0	0	10	23	36	8	36	0	108	412	381	319	0	0	0	0	0	6	0	0	23
ASV_62_16S_022.3	360	377	750	482	253	432	113	1184	154	61	378	1255	1159	178	211	475	630	96	554	947	319	271
ASV_67_16S_022.3	79	190	575	855	78	127	8	551	36	18	189	311	80	12	62	181	314	15	98	0	62	43
ASV_68_16S_022.3	136	271	222	288	366	229	50	139	62	40	191	336	215	97	52	111	437	45	237	593	116	129
ASV_69_16S_022.3	120	234	401	615	369	220	129	1017	286	57	589	586	1268	358	125	231	795	69	358	1102	161	727
ASV_70_16S_022.3	463	311	511	126	461	486	171	771	240	93	600	757	248	107	147	273	1468	114	1402	622	92	149
ASV_72_16S_022.3	87	372	387	318	414	354	23	354	159	72	283	677	382	202	215	91	428	36	271	527	125	210
ASV_77_16S_022.3	243	347	302	546	131	55	26	1144	26	25	598	326	2521	48	163	116	558	20	1185	513	37	13
ASV_79_16S_022.3	208	217	705	686	250	285	161	599	184	79	451	613	519	185	377	420	361	56	289	414	156	328
ASV_80_16S_022.3	161	413	361	143	218	243	47	376	170	55	94	1062	895	189	318	174	558	19	273	329	179	316
ASV_87_16S_022.3	0	26	564	470	171	56	543	38	67	24	119	88	20	294	67	350	0	57	1139	2888	362	150
ASV_88_16S_022.3	199	399	439	1004	62	220	78	417	29	49	410	1159	528	181	185	135	54	52	608	667	103	242
ASV_90_16S_022.3	0	69	750	51	0	0	0	595	77	0	40	50	1720	129	32	491	0	0	112	1756	29	224
ASV_91_16S_022.3	111	155	140	42	65	112	25	208	49	0	606	737	121	42	101	632	164	26	139	153	7	740
ASV_94_16S_022.3	0	0	0	0	0	0	0	0	22	0	0	0	0	74	31	0	0	0	0	0	0	10
ASV_95_16S_022.3	15	162	587	342	128	330	56	227	78	21	552	345	388	162	130	198	175	30	69	620	196	188
ASV_96_16S_022.3	231	24	262	768	0	197	340	73	176	28	84	784	1015	0	0	246	281	52	256	88	196	60
ASV_97_16S_022.3	0	79	63	83	34	88	0	45	0	0	136	128	91	0	0	59	69	0	100	55	0	45
ASV_100_16S_022.3	3002	0	10	35	1364	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_101_16S_022.3	78	70	100	225	3517	106	35	137	0	0	90	107	565	132	19	44	279	49	475	256	132	0
ASV_103_16S_022.3	83	574	616	144	135	63	21	288	62	0	35	1202	223	54	220	170	60	0	96	105	94	220
ASV_104_16S_022.3	27	93	169	96	123	52	19	135	38	61	71	60	145	87	64	70	234	58	39	212	44	69
ASV_106_16S_022.3	0	10	19	0	0	26	0	0	0	0	157	0	0	16	0	14	0	0	0	29	0	0
ASV_107_16S_022.3	193	138	194	353	72	230	27	741	27	71	1592	435	962	27	92	300	459	27	538	355	26	15
ASV_110_16S_022.3	0	0	54	128	116	51	0	125	40	0	0	135	159	46	0	52	135	0	29	114	62	39
ASV_111_16S_022.3	109	36	123	542	303	38	0	143	38	0	106	82	83	0	23	80	683	27	48	49	41	83
ASV_112_16S_022.3	42	55	196	109	86	100	27	291	30	22	366	834	163	59	53	536	163	60	147	127	36	160
ASV_113_16S_022.3	0	0	42	58	24	0	14	85	26	10	15	186	139	42	42	95	68	0	7	0	0	0
ASV_116_16S_022.3	106	354	756	260	228	173	31	453	166	41	165	740	360	245	304	494	270	48	158	339	141	343
ASV_117_16S_022.3	76	249	340	364	270	250	143	351	141	40	272	530	925	179	123	153	202	63	377	640	131	400
ASV_118_16S_022.3	291	261	418	634	220	165	69	340	72	27	113	137	268	77	122	319	1141	54	171	753	316	238
ASV_120_16S_022.3	0	653	707	11	0	154	55	59	95	0	10	57	865	191	85	43	13	0	32	695	353	72
ASV_125_16S_022.3	28	194	768	53	24	94	102	331	130	0	29	352	411	475	215	150	64	21	190	896	199	387
ASV_126_16S_022.3	54	76	100	204	216	160	30	272	58	28	37	487	570	98	36	99	142	39	110	536	60	163
ASV_127_16S_022.3	0	0	0	0	12	0	0	359	263	0	102	0	0	0	0	1313	0	0	0	0	0	0
ASV_128_16S_022.3	105	170	164	274	184	244	25	161	39	19	92	212	191	75	32	112	450	29	140	620	152	98
ASV_131_16S_022.3	30	59	69	54	39	49	15	58	0	0	24	210	191	104	42	0	44	0	33	78	25	53
ASV_133_16S_022.3	0	6	70	0	14	0	4	75	24	0	0	0	13	42	30	66	106	0	0	0	0	227
ASV_142_16S_022.3	0	0	0	17	0	0	0	40	0	24	9	6608	136	0	9	0	0	0	0	0	0	0
ASV_149_16S_022.3	85	154	207	242	205	258	80	232	163	68	127	408	228	116	83	65	184	58	245	291	105	109
ASV_155_16S_022.3	73	232	206	306	353	143	0	132	0	0	78	109	138	71	0	89	590	0	157	513	101	78
ASV_159_16S_022.3	114	183	204	302	381	261	25	205	57	64	174	325	156	89	37	74	573	37	212	769	123	131
ASV_160_16S_022.3	33	74	100	192	187	44	0	82	40	0	60	57	65	36	30	75	245	0	94	221	42	0
ASV_163_16S_022.3	0	57	125	6	0	40	0	41	0	8	6	36	11	0	0	9	55	0	102	0	0	13
ASV_165_16S_022.3	157	521	390	175	164	97	11	314	81	22	157	800	177	30	72	250	83	40	144	121	39	130
ASV_167_16S_022.3	99	134	226	192	110	156	64	435	109	29	124	169	279	260	125	88	201	29	260	420	111	95
ASV_171_16S_022.3	21	74	264	98	23	59	14	176	55	67	251	571	279	90	107	476	160	11	66	293	39	126
ASV_172_16S_022.3	205	79	388	365	1096	44	0	131	29	29	12	111	213	0	126	48	740	28	195	0	48	19
ASV_173_16S_022.3	63	350	244	157	127	62	0	180	50	30	102	763	144	33	75	52	34	28	65	248	102	334
ASV_174_16S_022.3	319	112	197	446	16	53	16	584	21	6	316	74	419	22	43	80	15	18	352	427	51	22
ASV_175_16S_022.3	65	42	204	276	249	0	0	103	52	0	0	141	67	0	42	62	501	0	58	76	0	57
ASV_182_16S_022.3	0	116	142	102	80	230	0	48	0	0	474	298	82	84	70	106	108	39	100	180	36	55
ASV_183_16S_022.3	57	118	256	220	311	161	51	159	83	45	120	169	192	116	43	56	190	40	194	469	83	138
ASV_184_16S_022.3	0	84	136	0	0	136	0	137	0	0	851	160	70	116	113	354	51	0	88	208	0	350
ASV_186_16S_022.3	14	5004	10	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_190_16S_022.3	80	165	491	403	124	194	44	223	99	0	179	93	112	84	0	201	455	73	114	360	115	110
ASV_191_16S_022.3	0	184	151	0	0	30	0	183	69	0	49	2543	69	65	211	173	0	0	0	67	0	86
ASV_198_16S_022.3	71	229	534	37	125	141	0	272	46	0	85	180	151	39	54	152	746	0	382	328	95	35
ASV_200_16S_022.3	17	29	103	240	87	0	19	125	36	21	14	31	204	28	28	212	106	31	116	97	19	99
ASV_201_16S_022.3	206	93	160	0	146	316	86	133	49	134	93	407	280	0	0	0	163	54	542	201	111	0
ASV_204_16S_022.3	0	103	271	59	92	59	0	171	0	0	0	71	150	0	0	78	117	0	0	172	0	56
ASV_205_16S_022.3	0	52	28	0	0	20	0	134	32	0	177	1421	99	31	36	367	0	0	105	56	0	185
ASV_206_16S_022.3	0	112	138	0	0	0	16	63	0	0	0	0	436	55	63	0	0	0	0	143	44	65
ASV_209_16S_022.3	0	135	339	4	0	254	48	51	0	0	0	278	805	37	0	42	109	0	130	938	89	77
ASV_208_16S_022.3	110	41	66	250	173	183	43	220	125	46	140	268	193	57	98	119	334	98	127	131	114	111
ASV_213_16S_022.3	206	107	123	80	116	248	27	218	80	33	71	272	114	69	31	54	294	56	319	212	46	35
ASV_216_16S_022.3	64	43	31	34	103	66	38	34	68	19	12	78	47	68	32	19	14	48	15	94	103	30
ASV_217_16S_022.3	51	122	131	52	103	50	9	44	15	0	0	26	42	0	0	19	123	0	23	78	32	0
ASV_219_16S_022.3	34	45	375	132	82	114	55	246	39	0	180	418	182	102	104	252	407	22	105	189	42	144
ASV_224_16S_022.3	0	114	140	179	153	93	0	122	31	0	0	0	141	0	0	0	226	0	0	293	0	69
ASV_225_16S_022.3	18	37	41	211	76	9	0	13	7	3	100	73	71	0	0	0	24	22	53	12	0	21
ASV_229_16S_022.3	17	11	7	17	60	370	13	481	13	0	100	16	16	0	22	399	29	21	90	0	51	0
ASV_230_16S_022.3	77	33	25	47	114	236	44	287	115	26	159	179	713	72	33	52	181	32	147	214	59	161
ASV_232_16S_022.3	66	58	66	194	11	92	8	230	56	11	167	246	151	82	87	160	74	0	370	298	119	64
ASV_233_16S_022.3	37	56	90	184	188	44	0	80	29	0	86	43	102	31	31	68	275	0	69	124	23	0
ASV_235_16S_022.3	0	45	33	61	40	30	31	30	49	32	18	45	16	55	59	43	14	22	32	27	54	74
ASV_237_16S_022.3	9	21	67	48	17	23	25	58	14	5	60	79	116	27	31	52	50	14	40	66	23	49
ASV_238_16S_022.3	43	134	94	92	79	98	0	47	0	0	42	124	72	0	0	44	95	0	77	158	0	0
ASV_240_16S_022.3	37	23	168	120	66	34	0	400	24	0	35	66	112	504	269	67	176	0	51	190	31	320
ASV_241_16S_022.3	32	125	105	182	32	174	167	380	36	14	163	279	197	92	0	114	56	25	54	907	59	46
ASV_244_16S_022.3	53	106	223	328	94	55	12	348	142	9	96	301	162	63	60	233	229	24	70	92	43	117
ASV_248_16S_022.3	43	64	231	0	41	0	0	45	34	0	67	616	159	98	30	106	22	0	0	46	7	179
ASV_251_16S_022.3	0	101	123	0	0	104	0	81	32	0	1799	119	70	51	0	192	34	0	32	165	0	164
ASV_252_16S_022.3	0	0	0	0	10	477	200	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0
